shipment_id,order_id,shipping_provider,shipping_status,shipped_at,delivered_at
81,81,FedEx,delivered,2024-03-01 04:05:29,2024-03-06 04:05:29
82,82,G4S,delivered,2025-11-13 08:38:06,2025-11-16 08:38:06
83,83,UPS,delivered,2025-03-27 00:11:18,2025-04-01 00:11:18
84,84,Sendy,delivered,2025-05-15 01:36:08,2025-05-18 01:36:08
85,85,UPS,delivered,2025-04-22 11:39:20,2025-04-24 11:39:20
86,86,G4S,delivered,2025-05-27 21:27:04,2025-05-29 21:27:04
87,87,DHL,delivered,2024-12-05 21:50:08,2024-12-06 21:50:08
88,88,DHL,cancelled,,
89,89,UPS,delivered,2025-12-07 14:13:19,2025-12-09 14:13:19
90,90,DHL,delivered,2025-03-11 21:02:13,2025-03-14 21:02:13
91,91,UPS,delivered,2025-06-06 16:22:39,2025-06-13 16:22:39
92,92,DHL,returned,2025-09-02 06:31:57,2025-09-07 06:31:57
93,93,FedEx,delivered,2024-02-24 08:57:04,2024-02-27 08:57:04
94,94,G4S,delivered,2025-11-12 22:18:07,2025-11-17 22:18:07
95,95,UPS,delivered,2024-02-01 16:51:37,2024-02-03 16:51:37
96,96,G4S,cancelled,,
97,97,FedEx,delivered,2024-02-07 11:13:19,2024-02-09 11:13:19
98,98,FedEx,delivered,2024-04-13 08:43:48,2024-04-20 08:43:48
99,99,DHL,delivered,2025-09-19 22:28:25,2025-09-23 22:28:25
100,100,DHL,delivered,2024-01-06 02:33:05,2024-01-08 02:33:05
101,101,G4S,delivered,2024-07-28 19:42:12,2024-07-31 19:42:12
102,102,G4S,delivered,2025-10-19 10:09:33,2025-10-26 10:09:33
103,103,G4S,delivered,2024-03-23 23:02:04,2024-03-25 23:02:04
104,104,UPS,delivered,2025-01-28 14:33:33,2025-02-05 14:33:33
105,105,FedEx,delivered,2025-05-31 21:14:15,2025-06-01 21:14:15
106,106,G4S,processing,2024-05-19 23:39:59,
107,107,G4S,delivered,2025-04-23 17:43:20,2025-04-24 17:43:20
108,108,DHL,delivered,2024-02-17 07:07:45,2024-02-18 07:07:45
109,109,FedEx,delivered,2024-12-16 03:04:12,2024-12-22 03:04:12
110,110,DHL,delivered,2025-11-14 21:13:43,2025-11-17 21:13:43
111,111,DHL,delivered,2025-05-30 12:31:17,2025-06-05 12:31:17
112,112,DHL,delivered,2024-05-28 05:09:06,2024-06-01 05:09:06
113,113,FedEx,delivered,2026-02-08 15:07:36,2026-02-14 15:07:36
114,114,Sendy,delivered,2025-06-28 15:00:44,2025-07-04 15:00:44
115,115,Sendy,delivered,2025-02-27 00:00:39,2025-03-05 00:00:39
116,116,FedEx,cancelled,,
117,117,Sendy,delivered,2025-04-04 17:20:27,2025-04-12 17:20:27
118,118,UPS,delivered,2026-03-21 07:20:16,2026-03-29 07:20:16
119,119,FedEx,delivered,2024-07-08 12:12:37,2024-07-11 12:12:37
120,120,G4S,processing,2025-05-29 08:30:51,
121,121,DHL,delivered,2025-04-29 05:30:44,2025-05-07 05:30:44
122,122,UPS,delivered,2025-11-04 15:40:42,2025-11-07 15:40:42
123,123,G4S,returned,2024-01-08 17:00:47,2024-01-12 17:00:47
124,124,UPS,delivered,2025-10-14 16:21:24,2025-10-16 16:21:24
125,125,UPS,delivered,2024-07-23 21:56:03,2024-07-29 21:56:03
126,126,Sendy,delivered,2025-04-01 04:16:59,2025-04-09 04:16:59
127,127,Sendy,delivered,2026-02-22 12:18:20,2026-03-02 12:18:20
128,128,UPS,delivered,2025-05-31 22:39:37,2025-06-03 22:39:37
129,129,Sendy,delivered,2024-06-11 12:12:20,2024-06-13 12:12:20
130,130,FedEx,delivered,2024-09-17 23:57:15,2024-09-18 23:57:15
131,131,UPS,delivered,2025-02-23 10:05:46,2025-02-25 10:05:46
132,132,Sendy,delivered,2024-03-24 02:00:09,2024-03-28 02:00:09
133,133,DHL,delivered,2025-06-20 05:31:55,2025-06-26 05:31:55
134,134,G4S,delivered,2025-01-28 12:41:00,2025-01-31 12:41:00
135,135,DHL,delivered,2025-02-19 03:42:51,2025-02-27 03:42:51
136,136,DHL,delivered,2024-03-25 09:53:53,2024-04-01 09:53:53
137,137,G4S,returned,2024-05-05 07:22:11,2024-05-09 07:22:11
138,138,G4S,returned,2025-05-09 13:17:29,2025-05-15 13:17:29
139,139,UPS,delivered,2025-04-16 11:47:09,2025-04-22 11:47:09
140,140,Sendy,delivered,2024-06-18 11:54:24,2024-06-25 11:54:24
141,141,UPS,delivered,2024-04-10 18:55:43,2024-04-18 18:55:43
142,142,Sendy,delivered,2025-12-24 00:22:30,2026-01-01 00:22:30
143,143,G4S,cancelled,,
144,144,Sendy,delivered,2024-07-25 08:15:01,2024-07-30 08:15:01
145,145,Sendy,delivered,2025-01-25 12:44:03,2025-01-29 12:44:03
146,146,Sendy,delivered,2024-10-10 00:15:16,2024-10-13 00:15:16
147,147,DHL,delivered,2024-09-24 04:02:22,2024-09-25 04:02:22
148,148,Sendy,delivered,2025-06-18 10:38:57,2025-06-23 10:38:57
149,149,FedEx,delivered,2024-04-08 22:53:46,2024-04-15 22:53:46
150,150,Sendy,delivered,2024-05-11 00:58:20,2024-05-15 00:58:20
151,151,FedEx,delivered,2025-02-16 08:36:18,2025-02-24 08:36:18
152,152,DHL,delivered,2025-01-11 14:20:09,2025-01-16 14:20:09
153,153,FedEx,delivered,2026-02-26 01:30:48,2026-03-06 01:30:48
154,154,FedEx,delivered,2024-05-14 19:47:10,2024-05-19 19:47:10
155,155,FedEx,delivered,2025-05-04 05:10:26,2025-05-05 05:10:26
156,156,FedEx,delivered,2026-03-16 20:09:00,2026-03-17 20:09:00
157,157,DHL,delivered,2024-06-15 22:29:43,2024-06-18 22:29:43
158,158,G4S,delivered,2025-05-03 03:53:11,2025-05-06 03:53:11
159,159,Sendy,delivered,2024-11-27 16:59:46,2024-11-28 16:59:46
160,160,FedEx,delivered,2025-02-12 18:05:43,2025-02-14 18:05:43
161,161,DHL,returned,2025-04-03 07:24:30,2025-04-04 07:24:30
162,162,Sendy,delivered,2025-11-04 11:12:17,2025-11-12 11:12:17
163,163,FedEx,delivered,2025-03-02 01:01:26,2025-03-03 01:01:26
164,164,G4S,delivered,2025-09-27 02:30:26,2025-10-04 02:30:26
165,165,UPS,delivered,2026-01-21 06:51:18,2026-01-29 06:51:18
166,166,G4S,delivered,2025-01-21 18:49:09,2025-01-27 18:49:09
167,167,DHL,delivered,2025-03-23 17:33:45,2025-03-28 17:33:45
168,168,G4S,delivered,2025-10-17 08:29:21,2025-10-21 08:29:21
169,169,DHL,delivered,2024-12-30 19:10:12,2025-01-02 19:10:12
170,170,UPS,delivered,2024-08-21 23:24:38,2024-08-25 23:24:38
171,171,DHL,delivered,2024-11-02 06:17:42,2024-11-05 06:17:42
172,172,UPS,delivered,2026-03-28 04:38:50,2026-04-02 04:38:50
173,173,FedEx,delivered,2024-03-27 11:45:18,2024-03-31 11:45:18
174,174,Sendy,delivered,2026-03-15 22:00:58,2026-03-19 22:00:58
175,175,DHL,delivered,2024-09-02 14:47:53,2024-09-07 14:47:53
176,176,DHL,delivered,2025-05-17 07:23:02,2025-05-23 07:23:02
177,177,G4S,delivered,2024-02-24 19:12:44,2024-03-02 19:12:44
178,178,FedEx,delivered,2025-06-07 08:39:20,2025-06-11 08:39:20
179,179,UPS,delivered,2024-09-16 01:49:15,2024-09-24 01:49:15
180,180,Sendy,delivered,2026-01-28 21:53:30,2026-02-03 21:53:30
181,181,Sendy,cancelled,,
182,182,UPS,delivered,2024-10-21 12:48:08,2024-10-25 12:48:08
183,183,UPS,delivered,2024-06-04 05:21:58,2024-06-09 05:21:58
184,184,UPS,delivered,2025-10-25 20:39:53,2025-11-02 20:39:53
185,185,FedEx,delivered,2025-05-29 05:22:17,2025-06-05 05:22:17
186,186,G4S,delivered,2024-11-03 20:05:20,2024-11-10 20:05:20
187,187,G4S,delivered,2025-09-11 13:31:35,2025-09-15 13:31:35
188,188,DHL,delivered,2024-02-08 16:37:18,2024-02-13 16:37:18
189,189,UPS,delivered,2024-05-01 12:53:44,2024-05-07 12:53:44
190,190,G4S,delivered,2024-02-26 00:30:49,2024-02-27 00:30:49
191,191,DHL,delivered,2025-09-24 12:54:05,2025-09-30 12:54:05
192,192,Sendy,delivered,2025-04-13 13:52:32,2025-04-16 13:52:32
193,193,DHL,delivered,2025-06-06 13:21:43,2025-06-13 13:21:43
194,194,UPS,delivered,2025-08-31 12:00:32,2025-09-01 12:00:32
195,195,DHL,delivered,2024-02-17 09:20:36,2024-02-19 09:20:36
196,196,G4S,delivered,2025-03-03 03:14:21,2025-03-04 03:14:21
197,197,G4S,delivered,2024-04-06 23:45:21,2024-04-11 23:45:21
198,198,FedEx,delivered,2024-01-29 21:38:20,2024-02-05 21:38:20
199,199,G4S,delivered,2025-06-08 17:08:18,2025-06-12 17:08:18
200,200,UPS,delivered,2024-12-31 01:57:23,2025-01-03 01:57:23
201,201,G4S,cancelled,,
202,202,FedEx,delivered,2025-11-19 01:56:14,2025-11-24 01:56:14
203,203,DHL,cancelled,,
204,204,UPS,delivered,2025-02-20 19:09:54,2025-02-28 19:09:54
205,205,FedEx,delivered,2025-08-10 09:34:21,2025-08-17 09:34:21
206,206,UPS,delivered,2025-12-26 15:16:41,2025-12-30 15:16:41
207,207,G4S,delivered,2026-02-25 19:02:25,2026-03-01 19:02:25
208,208,FedEx,delivered,2025-10-26 06:44:56,2025-10-31 06:44:56
209,209,UPS,delivered,2024-04-28 03:58:26,2024-05-03 03:58:26
210,210,FedEx,delivered,2025-10-29 13:39:56,2025-11-05 13:39:56
211,211,UPS,delivered,2024-03-30 03:16:00,2024-04-03 03:16:00
212,212,FedEx,delivered,2025-06-09 12:58:03,2025-06-13 12:58:03
213,213,UPS,delivered,2025-05-14 12:10:34,2025-05-22 12:10:34
214,214,G4S,delivered,2024-11-19 10:00:08,2024-11-27 10:00:08
215,215,DHL,delivered,2025-11-18 09:25:13,2025-11-25 09:25:13
216,216,G4S,delivered,2024-01-30 13:40:27,2024-02-06 13:40:27
217,217,Sendy,delivered,2026-01-02 21:32:37,2026-01-08 21:32:37
218,218,DHL,delivered,2025-03-22 10:49:25,2025-03-30 10:49:25
219,219,Sendy,delivered,2025-08-29 01:51:22,2025-09-03 01:51:22
220,220,Sendy,delivered,2024-12-27 22:01:57,2025-01-03 22:01:57
221,221,G4S,delivered,2026-01-25 21:12:41,2026-01-30 21:12:41
222,222,Sendy,delivered,2025-12-30 00:24:34,2026-01-06 00:24:34
223,223,DHL,delivered,2024-07-04 10:51:54,2024-07-10 10:51:54
224,224,UPS,returned,2024-05-28 07:07:43,2024-06-03 07:07:43
225,225,FedEx,returned,2026-02-05 03:12:52,2026-02-10 03:12:52
226,226,Sendy,delivered,2025-09-25 20:59:39,2025-10-02 20:59:39
227,227,FedEx,delivered,2025-04-24 09:31:29,2025-04-26 09:31:29
228,228,UPS,delivered,2025-05-04 04:30:37,2025-05-05 04:30:37
229,229,DHL,delivered,2024-08-19 05:59:07,2024-08-27 05:59:07
230,230,Sendy,returned,2025-01-31 17:14:46,2025-02-04 17:14:46
231,231,Sendy,delivered,2025-09-10 17:14:12,2025-09-11 17:14:12
232,232,UPS,delivered,2024-02-07 21:08:19,2024-02-12 21:08:19
233,233,UPS,delivered,2025-03-25 13:56:56,2025-04-01 13:56:56
234,234,UPS,delivered,2024-12-19 10:59:38,2024-12-27 10:59:38
235,235,UPS,delivered,2025-09-21 18:38:42,2025-09-25 18:38:42
236,236,FedEx,delivered,2024-12-08 19:48:28,2024-12-13 19:48:28
237,237,Sendy,delivered,2025-10-12 00:44:14,2025-10-16 00:44:14
238,238,Sendy,delivered,2026-01-14 11:52:20,2026-01-17 11:52:20
239,239,G4S,delivered,2026-01-07 17:16:44,2026-01-11 17:16:44
240,240,FedEx,delivered,2024-10-13 21:32:32,2024-10-19 21:32:32
241,241,UPS,delivered,2024-10-07 06:48:34,2024-10-10 06:48:34
242,242,G4S,cancelled,,
243,243,Sendy,delivered,2026-03-22 22:35:06,2026-03-24 22:35:06
244,244,DHL,delivered,2024-11-14 13:38:29,2024-11-16 13:38:29
245,245,DHL,delivered,2024-08-30 06:33:21,2024-09-01 06:33:21
246,246,FedEx,delivered,2024-05-21 05:46:36,2024-05-25 05:46:36
247,247,UPS,delivered,2024-04-01 13:16:56,2024-04-09 13:16:56
248,248,UPS,delivered,2025-05-20 14:13:29,2025-05-22 14:13:29
249,249,G4S,delivered,2024-02-27 09:51:30,2024-02-28 09:51:30
250,250,Sendy,delivered,2024-02-09 18:51:30,2024-02-14 18:51:30
251,251,FedEx,delivered,2024-09-06 00:36:46,2024-09-09 00:36:46
252,252,FedEx,delivered,2026-03-29 12:20:54,2026-04-03 12:20:54
253,253,G4S,delivered,2026-03-21 16:02:40,2026-03-25 16:02:40
254,254,Sendy,delivered,2024-08-24 23:13:07,2024-08-25 23:13:07
255,255,G4S,delivered,2024-12-04 03:31:38,2024-12-08 03:31:38
256,256,FedEx,delivered,2026-03-14 17:57:00,2026-03-18 17:57:00
257,257,FedEx,processing,2025-03-21 21:37:54,
258,258,FedEx,delivered,2025-12-08 19:27:24,2025-12-11 19:27:24
259,259,FedEx,delivered,2026-01-30 11:05:15,2026-02-05 11:05:15
260,260,DHL,processing,2025-10-14 11:20:14,
261,261,DHL,delivered,2024-07-29 04:23:33,2024-08-01 04:23:33
262,262,UPS,delivered,2024-07-07 00:02:27,2024-07-09 00:02:27
263,263,UPS,delivered,2025-07-20 23:05:12,2025-07-21 23:05:12
264,264,DHL,delivered,2024-07-30 02:42:12,2024-08-02 02:42:12
265,265,Sendy,delivered,2025-09-08 05:49:56,2025-09-10 05:49:56
266,266,Sendy,delivered,2024-01-25 00:37:05,2024-01-26 00:37:05
267,267,FedEx,delivered,2025-04-06 06:28:28,2025-04-07 06:28:28
268,268,Sendy,delivered,2026-01-12 06:33:33,2026-01-18 06:33:33
269,269,Sendy,delivered,2026-01-28 22:47:35,2026-01-30 22:47:35
270,270,UPS,delivered,2024-11-01 08:15:13,2024-11-02 08:15:13
271,271,UPS,delivered,2025-03-29 19:57:12,2025-03-31 19:57:12
272,272,UPS,delivered,2025-01-02 20:24:34,2025-01-03 20:24:34
273,273,DHL,processing,2024-05-03 13:09:38,
274,274,Sendy,delivered,2026-02-18 20:46:17,2026-02-20 20:46:17
275,275,UPS,delivered,2025-09-29 13:39:26,2025-10-07 13:39:26
276,276,DHL,delivered,2025-12-11 17:18:49,2025-12-12 17:18:49
277,277,UPS,cancelled,,
278,278,G4S,processing,2025-06-04 11:34:22,
279,279,Sendy,processing,2025-06-04 03:15:57,
280,280,FedEx,delivered,2025-10-24 21:17:45,2025-10-30 21:17:45
281,281,G4S,delivered,2026-02-05 20:40:12,2026-02-08 20:40:12
282,282,G4S,delivered,2025-10-07 02:12:46,2025-10-14 02:12:46
283,283,Sendy,delivered,2024-09-22 06:54:57,2024-09-24 06:54:57
284,284,UPS,delivered,2026-02-18 06:11:07,2026-02-22 06:11:07
285,285,FedEx,delivered,2025-06-25 08:25:42,2025-07-01 08:25:42
286,286,FedEx,delivered,2024-05-03 09:11:51,2024-05-05 09:11:51
287,287,Sendy,delivered,2024-11-04 22:55:54,2024-11-08 22:55:54
288,288,DHL,delivered,2025-07-17 18:12:30,2025-07-23 18:12:30
289,289,Sendy,cancelled,,
290,290,DHL,processing,2024-12-30 21:45:46,
291,291,FedEx,delivered,2025-03-17 08:44:05,2025-03-18 08:44:05
292,292,Sendy,delivered,2024-09-04 07:24:12,2024-09-09 07:24:12
293,293,DHL,delivered,2024-01-05 00:46:39,2024-01-13 00:46:39
294,294,FedEx,delivered,2025-06-07 11:09:25,2025-06-12 11:09:25
295,295,DHL,delivered,2025-03-03 11:21:40,2025-03-04 11:21:40
296,296,DHL,delivered,2024-12-19 16:15:44,2024-12-24 16:15:44
297,297,UPS,delivered,2025-12-08 20:08:13,2025-12-12 20:08:13
298,298,FedEx,delivered,2025-02-12 23:35:34,2025-02-18 23:35:34
299,299,FedEx,delivered,2024-10-24 08:37:29,2024-10-28 08:37:29
300,300,Sendy,delivered,2026-03-11 07:11:25,2026-03-15 07:11:25
301,301,FedEx,delivered,2024-05-31 11:29:59,2024-06-08 11:29:59
302,302,Sendy,delivered,2024-02-06 03:41:07,2024-02-07 03:41:07
303,303,G4S,delivered,2024-03-14 22:44:03,2024-03-21 22:44:03
304,304,FedEx,delivered,2024-04-12 07:10:55,2024-04-19 07:10:55
305,305,DHL,delivered,2025-05-21 00:53:02,2025-05-27 00:53:02
306,306,G4S,returned,2024-04-18 00:23:46,2024-04-26 00:23:46
307,307,Sendy,cancelled,,
308,308,Sendy,delivered,2026-01-31 22:19:01,2026-02-06 22:19:01
309,309,FedEx,delivered,2025-09-15 22:34:54,2025-09-20 22:34:54
310,310,Sendy,delivered,2025-12-26 14:24:31,2025-12-31 14:24:31
311,311,Sendy,delivered,2024-07-16 12:53:17,2024-07-23 12:53:17
312,312,G4S,delivered,2024-04-28 08:06:20,2024-05-05 08:06:20
313,313,Sendy,delivered,2024-12-10 02:49:23,2024-12-16 02:49:23
314,314,G4S,delivered,2026-03-11 18:25:55,2026-03-13 18:25:55
315,315,UPS,delivered,2024-09-04 14:47:08,2024-09-05 14:47:08
316,316,DHL,cancelled,,
317,317,FedEx,delivered,2024-09-19 10:29:31,2024-09-21 10:29:31
318,318,Sendy,delivered,2026-03-08 11:54:06,2026-03-13 11:54:06
319,319,FedEx,delivered,2025-11-28 10:31:55,2025-12-04 10:31:55
320,320,DHL,delivered,2024-09-15 15:48:30,2024-09-20 15:48:30
321,321,DHL,delivered,2024-10-05 04:37:55,2024-10-13 04:37:55
322,322,UPS,delivered,2025-06-13 20:25:37,2025-06-21 20:25:37
323,323,Sendy,delivered,2025-04-07 03:57:49,2025-04-13 03:57:49
324,324,G4S,delivered,2024-07-10 22:11:26,2024-07-18 22:11:26
325,325,UPS,delivered,2024-08-19 14:56:39,2024-08-24 14:56:39
326,326,G4S,delivered,2026-01-31 07:02:37,2026-02-05 07:02:37
327,327,DHL,delivered,2025-02-05 07:30:19,2025-02-10 07:30:19
328,328,DHL,delivered,2025-12-06 14:57:48,2025-12-10 14:57:48
329,329,FedEx,delivered,2024-07-22 09:02:40,2024-07-29 09:02:40
330,330,FedEx,delivered,2025-11-18 02:45:00,2025-11-25 02:45:00
331,331,G4S,delivered,2025-04-11 19:09:33,2025-04-18 19:09:33
332,332,Sendy,processing,2024-08-06 01:32:32,
333,333,UPS,delivered,2025-07-16 23:30:39,2025-07-17 23:30:39
334,334,UPS,delivered,2025-03-13 18:16:39,2025-03-21 18:16:39
335,335,DHL,cancelled,,
336,336,Sendy,delivered,2024-01-17 11:47:36,2024-01-19 11:47:36
337,337,FedEx,cancelled,,
338,338,UPS,delivered,2024-11-03 05:28:43,2024-11-07 05:28:43
339,339,FedEx,delivered,2025-06-08 08:58:48,2025-06-14 08:58:48
340,340,G4S,delivered,2024-12-18 04:23:37,2024-12-19 04:23:37
341,341,FedEx,delivered,2024-06-03 18:53:18,2024-06-09 18:53:18
342,342,DHL,delivered,2024-07-31 19:30:48,2024-08-03 19:30:48
343,343,G4S,delivered,2025-01-11 23:21:58,2025-01-15 23:21:58
344,344,DHL,delivered,2024-01-16 01:57:28,2024-01-23 01:57:28
345,345,Sendy,delivered,2025-01-10 11:07:41,2025-01-11 11:07:41
346,346,DHL,delivered,2024-09-27 17:45:48,2024-10-04 17:45:48
347,347,G4S,delivered,2024-08-20 19:51:54,2024-08-24 19:51:54
348,348,G4S,delivered,2026-02-19 03:44:45,2026-02-24 03:44:45
349,349,Sendy,delivered,2025-06-04 00:39:06,2025-06-10 00:39:06
350,350,Sendy,delivered,2025-01-23 13:51:45,2025-01-28 13:51:45
351,351,UPS,delivered,2025-02-08 16:23:03,2025-02-09 16:23:03
352,352,Sendy,delivered,2024-06-03 15:05:38,2024-06-07 15:05:38
353,353,Sendy,delivered,2026-03-10 16:30:10,2026-03-18 16:30:10
354,354,G4S,cancelled,,
355,355,Sendy,delivered,2024-08-31 21:46:32,2024-09-01 21:46:32
356,356,FedEx,delivered,2026-01-02 07:04:33,2026-01-03 07:04:33
357,357,G4S,delivered,2024-09-11 21:08:40,2024-09-19 21:08:40
358,358,DHL,cancelled,,
359,359,DHL,delivered,2024-02-10 18:21:02,2024-02-12 18:21:02
360,360,FedEx,delivered,2025-09-12 03:08:31,2025-09-20 03:08:31
361,361,DHL,delivered,2024-10-12 05:51:05,2024-10-18 05:51:05
362,362,UPS,delivered,2025-03-23 23:34:51,2025-03-27 23:34:51
363,363,UPS,delivered,2025-07-29 17:17:36,2025-08-01 17:17:36
364,364,FedEx,delivered,2024-11-21 08:46:07,2024-11-26 08:46:07
365,365,G4S,delivered,2026-03-16 06:13:32,2026-03-23 06:13:32
366,366,G4S,returned,2025-02-11 07:36:01,2025-02-12 07:36:01
367,367,UPS,delivered,2025-09-20 18:03:46,2025-09-22 18:03:46
368,368,FedEx,delivered,2024-01-28 11:52:00,2024-01-30 11:52:00
369,369,FedEx,delivered,2025-01-01 08:13:34,2025-01-02 08:13:34
370,370,G4S,delivered,2026-02-20 21:36:17,2026-02-27 21:36:17
371,371,G4S,delivered,2025-08-10 13:15:48,2025-08-18 13:15:48
372,372,G4S,delivered,2026-02-28 21:12:24,2026-03-03 21:12:24
373,373,G4S,delivered,2025-04-15 07:05:03,2025-04-21 07:05:03
374,374,DHL,processing,2025-06-03 04:07:30,
375,375,DHL,delivered,2025-11-01 07:06:58,2025-11-09 07:06:58
376,376,G4S,delivered,2026-01-05 18:22:20,2026-01-10 18:22:20
377,377,Sendy,delivered,2025-06-11 10:26:32,2025-06-13 10:26:32
378,378,UPS,delivered,2025-09-27 17:19:50,2025-09-28 17:19:50
379,379,Sendy,processing,2025-05-16 23:43:39,
380,380,UPS,cancelled,,
381,381,FedEx,delivered,2024-01-30 01:11:50,2024-02-03 01:11:50
382,382,FedEx,delivered,2026-03-22 18:58:15,2026-03-30 18:58:15
