payment_id,order_id,payment_method,payment_status,payment_amount,paid_at
123,123,card,refunded,2296.53,2024-01-06 19:23:47
124,124,paypal,PAID,1822.86,2025-10-13 13:14:24
125,125,paypal,success,687.49,2024-07-22 03:08:03
126,126,mobile_money,PAID,1483.38,2025-03-31 04:39:59
127,127,bank_transfer,PAID,2918.76,2026-02-19 14:04:20
128,128,paypal,success,618.97,2025-05-31 05:39:37
129,129,mobile_money,PAID,1466.80,2024-06-09 15:58:20
130,130,mobile_money,paid,399.94,2024-09-17 01:25:15
131,131,paypal,success,313.75,2025-02-21 10:05:46
132,132,paypal,PAID,222.57,2024-03-21 09:40:09
133,133,bank_transfer,success,438.51,2025-06-18 15:21:55
134,134,mobile_money,paid,535.25,2025-01-27 15:13:00
135,135,bank_transfer,paid,1475.98,2025-02-16 14:00:51
136,136,card,PAID,1304.82,2024-03-23 20:11:53
137,137,card,refunded,995.72,2024-05-03 09:14:11
138,138,mobile_money,refund,856.14,2025-05-07 16:24:29
139,139,bank_transfer,paid,1545.49,2025-04-15 16:04:09
140,140,card,paid,149.15,2024-06-17 08:16:24
141,141,paypal,PAID,818.36,2024-04-09 09:13:43
142,142,bank_transfer,PAID,305.32,2025-12-23 18:21:30
143,143,mobile_money,declined,0.00,2025-10-30 17:32:48
144,144,bank_transfer,paid,624.21,2024-07-22 08:47:01
145,145,card,success,407.65,2025-01-22 17:11:03
146,146,bank_transfer,success,1410.89,2024-10-08 13:36:16
147,147,paypal,paid,629.41,2024-09-21 21:23:22
148,148,paypal,paid,281.15,2025-06-16 07:53:57
149,149,card,success,1380.93,2024-04-07 22:04:46
150,150,bank_transfer,PAID,452.70,2024-05-10 15:39:20
151,151,paypal,success,773.37,2025-02-15 20:00:18
152,152,card,success,41.98,2025-01-10 19:17:09
153,153,bank_transfer,paid,833.88,2026-02-25 00:09:48
154,154,paypal,PAID,1232.66,2024-05-12 00:23:10
155,155,mobile_money,paid,38.58,2025-05-03 13:10:26
156,156,bank_transfer,PAID,1338.63,2026-03-14 05:06:00
157,157,mobile_money,paid,570.70,2024-06-13 03:09:43
158,158,card,paid,1058.67,2025-04-30 06:12:11
159,159,bank_transfer,paid,432.81,2024-11-26 19:16:46
160,160,paypal,paid,545.34,2025-02-10 09:34:43
161,161,bank_transfer,refund,352.62,2025-04-02 17:50:30
162,162,paypal,PAID,2080.67,2025-11-02 07:59:17
163,163,paypal,PAID,712.58,2025-02-27 03:47:26
164,164,mobile_money,paid,144.23,2025-09-24 09:30:26
165,165,mobile_money,success,316.84,2026-01-18 07:37:18
166,166,mobile_money,PAID,1060.12,2025-01-20 09:12:09
167,167,bank_transfer,PAID,258.79,2025-03-23 11:23:45
168,168,paypal,success,145.23,2025-10-17 00:35:21
169,169,mobile_money,paid,1414.39,2024-12-28 12:48:12
170,170,bank_transfer,paid,1466.56,2024-08-20 17:33:38
171,171,card,success,2320.80,2024-11-01 14:43:42
172,172,paypal,paid,167.56,2026-03-26 04:38:50
173,173,paypal,paid,1178.32,2024-03-26 13:13:18
174,174,bank_transfer,paid,136.71,2026-03-15 11:39:58
175,175,bank_transfer,paid,1474.81,2024-08-31 21:26:53
176,176,paypal,paid,263.89,2025-05-16 20:34:02
177,177,bank_transfer,success,57.52,2024-02-23 22:39:44
178,178,mobile_money,paid,1790.89,2025-06-06 01:09:20
179,179,card,PAID,637.92,2024-09-15 21:30:15
180,180,bank_transfer,PAID,844.22,2026-01-27 01:43:30
181,181,paypal,declined,0.00,2024-02-16 22:38:55
182,182,card,PAID,1808.17,2024-10-21 08:08:08
183,183,mobile_money,paid,1125.33,2024-06-02 14:36:58
184,184,mobile_money,PAID,710.58,2025-10-23 20:14:53
185,185,paypal,PAID,1072.44,2025-05-27 21:06:17
186,186,paypal,success,285.06,2024-10-31 21:57:20
187,187,card,paid,124.19,2025-09-11 02:20:35
188,188,mobile_money,paid,988.57,2024-02-06 05:44:18
189,189,card,PAID,727.20,2024-05-01 08:30:44
190,190,paypal,success,871.24,2024-02-25 02:06:49
191,191,bank_transfer,paid,2001.45,2025-09-23 06:30:05
192,192,card,PAID,2264.78,2025-04-11 18:48:32
193,193,mobile_money,PAID,279.54,2025-06-03 16:37:43
194,194,card,success,577.23,2025-08-31 06:13:32
195,195,paypal,success,352.61,2024-02-16 00:04:36
196,196,bank_transfer,success,1513.09,2025-03-01 18:49:21
197,197,mobile_money,success,688.58,2024-04-05 02:02:21
198,198,mobile_money,success,275.94,2024-01-28 01:35:20
199,199,bank_transfer,PAID,887.21,2025-06-08 12:18:18
200,200,card,success,370.42,2024-12-30 03:00:23
201,201,card,declined,0.00,2024-10-04 00:12:27
202,202,paypal,paid,421.81,2025-11-16 17:33:14
203,203,bank_transfer,failed,0.00,2024-02-12 16:04:57
204,204,bank_transfer,paid,1941.77,2025-02-18 22:40:54
205,205,paypal,paid,321.62,2025-08-08 04:27:21
206,206,mobile_money,PAID,849.64,2025-12-25 07:01:41
207,207,mobile_money,paid,1546.41,2026-02-24 14:12:25
208,208,paypal,success,238.64,2025-10-23 17:40:56
209,209,paypal,success,626.98,2024-04-25 18:58:26
210,210,mobile_money,paid,1800.74,2025-10-28 02:07:56
211,211,mobile_money,PAID,2764.87,2024-03-29 12:21:00
212,212,bank_transfer,PAID,485.41,2025-06-07 17:20:03
213,213,bank_transfer,success,1219.46,2025-05-13 19:44:34
214,214,mobile_money,paid,173.75,2024-11-18 06:37:08
215,215,mobile_money,PAID,624.44,2025-11-16 00:15:13
216,216,paypal,PAID,1872.64,2024-01-29 21:27:27
217,217,paypal,success,350.69,2025-12-31 18:00:37
218,218,mobile_money,PAID,1613.77,2025-03-19 18:40:25
219,219,bank_transfer,PAID,19.42,2025-08-27 04:20:22
220,220,paypal,paid,744.83,2024-12-26 13:34:57
221,221,card,PAID,274.89,2026-01-24 05:50:41
222,222,bank_transfer,paid,262.99,2025-12-27 05:04:34
223,223,mobile_money,paid,163.14,2024-07-03 23:22:54
224,224,bank_transfer,refunded,891.64,2024-05-27 18:44:43
225,225,card,refunded,713.43,2026-02-02 05:40:52
226,226,card,paid,534.66,2025-09-23 20:19:39
227,227,paypal,success,1358.15,2025-04-23 22:17:29
228,228,paypal,success,2728.55,2025-05-03 06:51:37
229,229,mobile_money,paid,261.08,2024-08-18 07:06:07
230,230,bank_transfer,refund,260.29,2025-01-30 03:03:46
231,231,bank_transfer,success,98.55,2025-09-08 17:21:12
232,232,card,paid,201.18,2024-02-07 17:18:19
233,233,bank_transfer,paid,288.24,2025-03-23 10:53:56
234,234,bank_transfer,PAID,776.11,2024-12-16 17:34:38
235,235,card,success,725.30,2025-09-21 11:14:42
236,236,paypal,PAID,173.40,2024-12-05 22:08:28
237,237,paypal,paid,635.01,2025-10-11 05:53:14
238,238,mobile_money,success,705.79,2026-01-13 23:18:20
239,239,paypal,PAID,1272.46,2026-01-04 21:31:44
240,240,mobile_money,PAID,950.37,2024-10-12 00:11:32
241,241,paypal,success,25.88,2024-10-05 22:43:34
242,242,paypal,failed,0.00,2025-02-18 03:08:31
243,243,card,success,770.80,2026-03-21 16:44:06
244,244,paypal,success,690.00,2024-11-12 18:26:29
245,245,paypal,paid,1123.65,2024-08-29 07:12:21
246,246,mobile_money,PAID,99.81,2024-05-19 06:35:36
247,247,mobile_money,PAID,312.17,2024-03-30 13:15:56
248,248,bank_transfer,PAID,797.38,2025-05-17 22:11:29
249,249,bank_transfer,PAID,298.68,2024-02-25 23:58:30
250,250,bank_transfer,paid,1267.47,2024-02-08 05:09:30
251,251,card,PAID,587.70,2024-09-04 22:35:46
252,252,card,success,615.37,2026-03-26 20:48:54
253,253,bank_transfer,success,621.89,2026-03-21 01:08:40
254,254,paypal,paid,1348.52,2024-08-24 09:10:07
255,255,mobile_money,paid,1492.03,2024-12-03 03:45:38
256,256,paypal,success,799.00,2026-03-12 05:03:00
257,257,mobile_money,pending,0.00,2025-03-21 14:44:54
258,258,mobile_money,PAID,483.80,2025-12-07 03:42:24
259,259,card,PAID,420.72,2026-01-27 20:01:15
260,260,mobile_money,pending,0.00,2025-10-13 04:55:14
261,261,bank_transfer,PAID,684.63,2024-07-26 07:22:33
262,262,card,paid,252.39,2024-07-04 14:15:27
263,263,bank_transfer,paid,355.92,2025-07-20 01:13:12
264,264,paypal,success,597.34,2024-07-28 10:02:12
265,265,mobile_money,success,2113.51,2025-09-07 08:59:56
266,266,card,success,990.92,2024-01-22 08:56:05
267,267,card,PAID,1845.84,2025-04-03 23:00:28
268,268,mobile_money,paid,670.07,2026-01-10 07:18:33
269,269,paypal,paid,1516.24,2026-01-27 01:39:35
270,270,mobile_money,paid,1345.28,2024-10-30 07:40:13
271,271,bank_transfer,paid,3825.12,2025-03-27 16:11:12
272,272,mobile_money,success,1085.72,2025-01-02 13:28:34
273,273,bank_transfer,pending,0.00,2024-05-02 19:45:38
274,274,paypal,success,741.98,2026-02-17 11:10:17
275,275,bank_transfer,PAID,209.03,2025-09-26 23:25:26
276,276,mobile_money,success,1579.31,2025-12-10 12:58:49
277,277,card,failed,0.00,2024-08-05 15:15:36
278,278,card,pending,0.00,2025-06-03 11:21:22
279,279,bank_transfer,pending,0.00,2025-06-03 19:12:57
280,280,bank_transfer,paid,450.82,2025-10-23 14:51:45
281,281,mobile_money,success,1266.58,2026-02-03 22:53:12
282,282,bank_transfer,paid,1051.02,2025-10-06 13:47:46
283,283,card,success,1065.52,2024-09-21 07:25:57
284,284,card,success,199.10,2026-02-17 07:31:07
285,285,mobile_money,paid,697.00,2025-06-24 11:03:42
286,286,card,success,1565.14,2024-05-01 14:39:51
287,287,bank_transfer,PAID,134.62,2024-11-04 04:44:54
288,288,bank_transfer,success,64.67,2025-07-16 23:40:30
289,289,paypal,failed,0.00,2024-06-07 21:56:51
290,290,paypal,pending,0.00,2024-12-30 12:17:46
291,291,mobile_money,paid,549.78,2025-03-14 13:48:05
292,292,card,paid,797.56,2024-09-03 01:42:12
293,293,card,paid,248.21,2024-01-04 09:38:39
294,294,card,success,462.48,2025-06-05 06:42:25
295,295,card,paid,473.96,2025-03-02 04:09:40
296,296,mobile_money,success,313.82,2024-12-18 17:23:44
297,297,mobile_money,success,437.27,2025-12-07 16:30:13
298,298,bank_transfer,PAID,725.79,2025-02-12 10:08:34
299,299,card,PAID,1550.94,2024-10-22 19:12:29
300,300,bank_transfer,success,318.58,2026-03-09 22:26:25
301,301,mobile_money,success,888.12,2024-05-30 14:24:59
302,302,mobile_money,success,144.54,2024-02-04 04:49:07
303,303,mobile_money,PAID,642.98,2024-03-13 06:20:03
304,304,paypal,success,728.87,2024-04-10 04:27:55
305,305,bank_transfer,paid,1181.16,2025-05-19 00:58:02
306,306,bank_transfer,refunded,268.03,2024-04-17 01:35:46
307,307,mobile_money,failed,0.00,2024-07-10 04:58:31
308,308,mobile_money,PAID,474.63,2026-01-31 12:54:01
309,309,paypal,PAID,1128.10,2025-09-14 14:38:54
310,310,bank_transfer,paid,360.08,2025-12-25 01:55:31
311,311,paypal,paid,1399.42,2024-07-16 00:28:17
312,312,card,success,819.84,2024-04-26 19:26:20
313,313,bank_transfer,success,180.81,2024-12-09 18:40:23
314,314,bank_transfer,success,407.65,2026-03-09 13:52:55
315,315,paypal,success,1098.46,2024-09-03 07:33:08
316,316,card,failed,0.00,2024-03-16 17:54:21
317,317,bank_transfer,PAID,1007.17,2024-09-18 08:17:31
318,318,bank_transfer,paid,195.17,2026-03-07 15:57:06
319,319,bank_transfer,PAID,159.09,2025-11-26 02:57:55
320,320,mobile_money,success,951.52,2024-09-13 15:59:30
321,321,card,success,194.27,2024-10-02 11:44:55
322,322,mobile_money,paid,902.26,2025-06-11 13:32:37
323,323,paypal,PAID,113.90,2025-04-05 12:14:49
324,324,mobile_money,paid,309.11,2024-07-09 02:56:26
325,325,bank_transfer,success,511.95,2024-08-17 21:55:39
326,326,card,success,1109.36,2026-01-29 22:05:37
327,327,paypal,paid,788.58,2025-02-02 20:58:19
328,328,mobile_money,PAID,554.50,2025-12-05 09:50:48
329,329,paypal,success,823.83,2024-07-19 22:01:40
330,330,mobile_money,success,464.27,2025-11-16 02:57:00
331,331,bank_transfer,PAID,1064.07,2025-04-09 15:53:33
332,332,paypal,pending,0.00,2024-08-04 00:54:32
333,333,card,PAID,253.96,2025-07-15 11:11:39
334,334,mobile_money,success,219.74,2025-03-12 14:00:39
335,335,paypal,declined,0.00,2025-01-10 18:21:54
336,336,card,success,888.79,2024-01-14 18:21:36
337,337,card,declined,0.00,2025-04-29 10:14:31
338,338,paypal,success,287.33,2024-11-02 21:35:43
339,339,mobile_money,PAID,925.60,2025-06-06 19:27:48
340,340,card,success,108.79,2024-12-16 20:55:37
341,341,mobile_money,paid,709.38,2024-06-03 07:13:18
342,342,bank_transfer,success,526.18,2024-07-30 21:19:48
343,343,card,paid,1113.92,2025-01-09 22:47:58
344,344,bank_transfer,PAID,616.38,2024-01-15 12:28:28
345,345,mobile_money,success,1524.34,2025-01-07 19:00:41
346,346,bank_transfer,PAID,1101.36,2024-09-26 08:28:48
347,347,mobile_money,success,919.44,2024-08-18 21:07:54
348,348,paypal,paid,664.04,2026-02-17 09:23:45
349,349,bank_transfer,paid,1671.84,2025-06-01 23:52:06
350,350,mobile_money,success,281.09,2025-01-20 16:22:45
351,351,bank_transfer,PAID,768.39,2025-02-07 10:15:03
352,352,bank_transfer,success,136.16,2024-06-02 12:00:38
353,353,card,paid,386.74,2026-03-09 06:39:10
354,354,mobile_money,declined,0.00,2025-06-13 12:43:07
355,355,mobile_money,success,492.00,2024-08-30 21:02:32
356,356,paypal,success,517.85,2025-12-31 15:28:33
357,357,card,success,1163.22,2024-09-10 22:04:40
358,358,card,declined,0.00,2025-10-25 02:45:51
359,359,paypal,PAID,304.45,2024-02-10 03:45:02
360,360,paypal,PAID,1033.69,2025-09-11 06:38:31
361,361,card,success,1651.26,2024-10-09 21:45:05
362,362,card,success,601.53,2025-03-21 02:11:51
363,363,mobile_money,paid,359.69,2025-07-29 10:56:36
364,364,paypal,success,587.91,2024-11-18 15:24:07
365,365,bank_transfer,PAID,3112.97,2026-03-15 14:52:32
366,366,bank_transfer,refunded,2570.14,2025-02-11 00:38:01
367,367,mobile_money,paid,992.19,2025-09-19 00:41:46
368,368,mobile_money,PAID,569.67,2024-01-27 16:12:00
369,369,mobile_money,PAID,758.74,2024-12-30 12:44:34
370,370,paypal,paid,768.20,2026-02-18 04:52:17
371,371,card,PAID,988.16,2025-08-09 07:21:48
372,372,mobile_money,paid,417.05,2026-02-27 12:39:24
373,373,card,PAID,277.46,2025-04-14 20:53:03
374,374,mobile_money,pending,0.00,2025-06-02 07:16:30
375,375,bank_transfer,success,1797.96,2025-10-29 23:48:58
376,376,paypal,success,2055.47,2026-01-04 06:05:20
377,377,card,paid,171.60,2025-06-11 01:15:32
378,378,paypal,PAID,680.67,2025-09-25 14:27:50
379,379,card,pending,0.00,2025-05-14 11:19:39
380,380,card,failed,0.00,2024-09-08 07:01:04
381,381,card,PAID,825.71,2024-01-28 05:17:50
382,382,mobile_money,success,609.08,2026-03-19 21:57:15
383,383,bank_transfer,paid,409.94,2025-08-29 10:57:42
384,384,paypal,paid,881.20,2024-08-21 00:01:58
385,385,mobile_money,success,448.10,2025-03-07 07:51:29
386,386,paypal,paid,1547.85,2024-07-18 14:35:44
387,387,card,success,318.89,2024-12-02 23:36:30
388,388,mobile_money,success,315.15,2024-08-25 10:42:04
389,389,bank_transfer,PAID,355.25,2024-09-25 17:28:21
390,390,card,paid,276.92,2025-11-25 12:01:32
391,391,bank_transfer,refunded,87.37,2024-06-11 12:56:33
392,392,bank_transfer,paid,670.55,2026-01-20 21:41:02
393,393,card,PAID,994.19,2024-10-18 03:42:31
394,394,card,paid,1793.37,2026-01-18 17:32:25
395,395,paypal,success,1042.47,2024-05-21 10:07:35
396,396,paypal,success,916.26,2025-06-24 01:25:45
397,397,mobile_money,paid,54.51,2024-10-12 21:37:18
398,398,card,success,48.19,2024-05-31 08:43:21
399,399,card,PAID,149.48,2024-05-03 16:13:30
400,400,card,paid,237.12,2024-01-15 06:12:23
401,401,paypal,declined,0.00,2024-09-16 05:58:24
402,402,bank_transfer,success,599.45,2025-12-27 20:44:06
403,403,card,PAID,21.11,2024-01-03 10:51:02
404,404,mobile_money,PAID,1338.51,2024-08-18 17:49:20
405,405,card,success,1080.39,2025-05-19 05:31:04
406,406,mobile_money,PAID,314.06,2024-02-05 14:26:13
407,407,bank_transfer,paid,179.75,2025-02-06 12:17:27
408,408,mobile_money,paid,300.04,2025-03-17 14:30:10
409,409,paypal,paid,820.14,2025-05-24 02:10:33
410,410,bank_transfer,success,838.96,2025-12-06 13:26:58
411,411,mobile_money,success,1299.20,2025-02-09 03:50:24
412,412,card,success,1649.39,2026-03-09 15:11:35
413,413,card,pending,0.00,2026-03-12 07:51:09
414,414,bank_transfer,PAID,1034.20,2024-05-13 23:35:43
415,415,bank_transfer,PAID,184.73,2025-12-11 20:28:45
416,416,paypal,success,1059.12,2024-04-12 16:34:09
417,417,paypal,paid,1920.18,2024-12-29 19:19:17
418,418,paypal,PAID,998.09,2026-01-07 01:16:53
419,419,card,PAID,12.89,2026-01-26 07:08:50
420,420,mobile_money,paid,34.94,2024-02-21 17:02:11
421,421,card,paid,111.80,2025-12-02 18:51:56
422,422,bank_transfer,paid,224.43,2026-03-20 01:35:34
423,423,mobile_money,paid,126.76,2025-05-26 23:50:54
424,424,paypal,PAID,13.05,2025-03-05 07:50:46
425,425,paypal,paid,960.07,2024-12-24 10:15:32
426,426,paypal,success,520.30,2025-05-17 22:15:45
427,427,bank_transfer,PAID,1210.57,2026-01-03 16:03:47
428,428,bank_transfer,pending,0.00,2024-12-05 09:19:21
429,429,mobile_money,pending,0.00,2024-02-29 00:41:45
430,430,card,PAID,1570.23,2024-07-24 19:41:23
431,431,card,paid,768.85,2025-02-08 23:35:24
432,432,card,success,381.19,2024-09-02 10:07:55
433,433,bank_transfer,pending,0.00,2024-06-16 15:36:29
434,434,paypal,PAID,1277.54,2025-08-20 15:28:19
435,435,card,success,938.55,2024-06-20 21:30:27
436,436,card,PAID,387.63,2024-02-25 00:32:02
437,437,card,PAID,347.82,2024-06-16 14:58:55
438,438,mobile_money,paid,259.12,2024-06-16 07:00:30
439,439,bank_transfer,paid,106.46,2024-05-28 06:02:23
440,440,paypal,paid,689.44,2025-04-06 00:20:10
441,441,paypal,success,910.20,2024-03-17 09:02:31
442,442,bank_transfer,PAID,319.67,2025-05-31 00:39:18
443,443,bank_transfer,success,528.58,2024-01-31 03:05:30
444,444,card,success,1275.81,2024-05-31 14:09:48
445,445,mobile_money,paid,1303.37,2025-07-07 08:41:50
446,446,card,PAID,227.47,2026-01-15 11:16:06
447,447,paypal,PAID,1360.40,2026-02-22 13:12:30
448,448,paypal,paid,860.52,2025-06-11 14:58:33
449,449,bank_transfer,success,949.53,2024-09-17 04:47:17
450,450,card,pending,0.00,2025-08-25 21:47:48
451,451,card,paid,121.19,2025-11-10 11:13:08
452,452,card,paid,1908.52,2024-08-24 05:07:35
453,453,mobile_money,paid,366.06,2026-03-01 05:20:16
454,454,mobile_money,paid,802.47,2025-12-25 17:27:51
455,455,mobile_money,success,17.80,2026-02-05 01:59:04
456,456,bank_transfer,PAID,1094.58,2024-12-29 09:20:52
457,457,card,PAID,1299.61,2026-03-08 00:49:42
458,458,bank_transfer,success,387.32,2025-03-25 00:33:55
459,459,paypal,paid,1887.43,2024-05-17 11:04:00
460,460,bank_transfer,success,368.43,2025-02-15 21:41:38
461,461,mobile_money,PAID,258.33,2024-12-16 06:37:54
462,462,mobile_money,PAID,587.99,2025-10-12 12:22:28
463,463,bank_transfer,paid,720.24,2025-04-22 21:43:32
464,464,bank_transfer,paid,498.26,2024-05-24 06:36:03
465,465,bank_transfer,PAID,2301.31,2025-05-08 21:11:23
466,466,card,PAID,169.73,2024-10-06 16:45:56
467,467,bank_transfer,paid,136.02,2025-11-26 02:39:38
468,468,mobile_money,PAID,1155.28,2026-02-12 05:41:05
469,469,card,success,205.25,2025-05-22 14:01:02
470,470,mobile_money,PAID,383.85,2025-02-08 06:22:46
471,471,bank_transfer,success,137.43,2024-12-01 02:58:08
472,472,card,PAID,162.74,2024-05-06 07:31:15
473,473,mobile_money,paid,982.75,2025-03-14 08:57:54
474,474,bank_transfer,success,959.75,2024-01-19 17:26:21
475,475,bank_transfer,success,1786.64,2024-04-09 08:57:58
476,476,bank_transfer,pending,0.00,2026-03-14 20:56:03
477,477,mobile_money,PAID,1186.34,2024-01-23 02:37:13
478,478,paypal,paid,716.36,2024-04-05 06:56:27
479,479,card,PAID,1073.05,2025-09-01 06:37:56
480,480,paypal,paid,97.04,2024-02-14 09:16:18
