order_id,customer_id,order_date,order_status,payment_status,shipping_region_id,total_amount
131,1822,2025-02-21 09:05:46,completed,success,2,313.75
132,710,2024-03-21 09:00:09,completed,PAID,16,222.57
133,1211,2025-06-18 13:31:55,completed,success,11,438.51
134,189,2025-01-27 14:41:00,SUCCESS,paid,15,535.25
135,776,2025-02-16 12:42:51,completed,paid,15,1475.98
136,1129,2024-03-23 18:53:53,SUCCESS,PAID,4,1304.82
137,2016,2024-05-03 08:22:11,returned,refunded,15,995.72
138,614,2025-05-07 15:17:29,returned,refund,1,856.14
139,1845,2025-04-15 14:47:09,completed,paid,15,1545.49
140,2200,2024-06-17 07:54:24,completed,paid,5,149.15
141,1653,2024-04-09 07:55:43,completed,PAID,9,818.36
142,2140,2025-12-23 16:22:30,completed,PAID,5,305.32
143,2040,2025-10-30 16:06:48,cancelled,declined,3,445.18
144,144,2024-07-22 08:15:01,completed,paid,16,624.21
145,2023,2025-01-22 15:44:03,completed,success,14,407.65
146,674,2024-10-08 13:15:16,completed,success,6,1410.89
147,1148,2024-09-21 20:02:22,SUCCESS,paid,14,629.41
148,855,2025-06-16 07:38:57,completed,paid,15,281.15
149,1530,2024-04-07 20:53:46,completed,success,3,1380.93
150,1996,2024-05-10 14:58:20,completed,PAID,12,452.70
151,1273,2025-02-15 18:36:18,SUCCESS,success,2,773.37
152,63,2025-01-10 18:20:09,completed,success,5,41.98
153,1824,2026-02-24 22:30:48,Complete,paid,2,833.88
154,1163,2024-05-11 23:47:10,completed,PAID,13,1232.66
155,1659,2025-05-03 12:10:26,completed,paid,1,38.58
156,986,2026-03-14 03:09:00,completed,PAID,1,1338.63
157,792,2024-06-13 01:29:43,completed,paid,2,570.70
158,1022,2025-04-30 04:53:11,completed,paid,14,1058.67
159,784,2024-11-26 18:59:46,completed,paid,4,432.81
160,1226,2025-02-10 08:05:43,completed,paid,5,545.34
161,660,2025-04-02 17:24:30,returned,refund,2,352.62
162,1850,2025-11-02 07:12:17,completed,PAID,2,2080.67
163,836,2025-02-27 02:01:26,completed,PAID,15,712.58
164,441,2025-09-24 08:30:26,completed,paid,2,144.23
165,1503,2026-01-18 06:51:18,completed,success,8,316.84
166,1660,2025-01-20 07:49:09,completed,PAID,8,1060.12
167,1569,2025-03-23 10:33:45,completed,PAID,4,258.79
168,1489,2025-10-16 23:29:21,completed,success,14,145.23
169,1391,2024-12-28 12:10:12,completed,paid,7,1414.39
170,431,2024-08-20 17:24:38,completed,paid,3,1466.56
171,1079,2024-11-01 13:17:42,completed,success,4,2320.80
172,774,2026-03-26 02:38:50,completed,paid,5,167.56
173,9,2024-03-26 12:45:18,completed,paid,14,1178.32
174,2155,2026-03-15 11:00:58,completed,paid,5,136.71
175,956,2024-08-31 19:47:53,completed,paid,2,1474.81
176,584,2025-05-16 19:23:02,completed,paid,13,263.89
177,1353,2024-02-23 21:12:44,completed,success,3,57.52
178,351,2025-06-06 00:39:20,completed,paid,13,1790.89
179,886,2024-09-15 20:49:15,Complete,PAID,11,637.92
180,272,2026-01-26 23:53:30,Complete,PAID,10,844.22
181,995,2024-02-16 22:32:55,cancelled,declined,9,288.55
182,1447,2024-10-21 06:48:08,completed,PAID,7,1808.17
183,919,2024-06-02 13:21:58,Complete,paid,3,1125.33
184,1208,2025-10-23 19:39:53,completed,PAID,1,710.58
185,309,2025-05-27 19:22:17,completed,PAID,11,1072.44
186,2195,2024-10-31 20:05:20,completed,success,14,285.06
187,1761,2025-09-11 00:31:35,completed,paid,13,124.19
188,361,2024-02-06 04:37:18,completed,paid,10,988.57
189,357,2024-05-01 07:53:44,completed,PAID,4,727.20
190,1894,2024-02-25 00:30:49,SUCCESS,success,9,871.24
191,756,2025-09-23 04:54:05,completed,paid,7,2001.45
192,358,2025-04-11 17:52:32,completed,PAID,6,2264.78
193,1151,2025-06-03 16:21:43,completed,PAID,15,279.54
194,715,2025-08-31 05:00:32,completed,success,8,577.23
195,1170,2024-02-15 23:20:36,completed,success,13,352.61
196,106,2025-03-01 17:14:21,completed,success,16,1513.09
197,500,2024-04-05 01:45:21,completed,success,3,688.58
198,728,2024-01-28 00:38:20,Complete,success,8,275.94
199,66,2025-06-08 11:08:18,completed,PAID,6,887.21
200,2193,2024-12-30 01:57:23,completed,success,7,370.42
201,2136,2024-10-03 22:20:27,cancelled,declined,1,1142.57
202,873,2025-11-16 15:56:14,completed,paid,9,421.81
203,664,2024-02-12 15:09:57,cancelled,failed,4,2540.22
204,2011,2025-02-18 21:09:54,SUCCESS,paid,13,1941.77
205,1387,2025-08-08 03:34:21,completed,paid,13,321.62
206,954,2025-12-25 06:16:41,Complete,PAID,7,849.64
207,1592,2026-02-24 13:02:25,completed,paid,16,1546.41
208,1385,2025-10-23 16:44:56,completed,success,2,238.64
209,771,2024-04-25 16:58:26,completed,success,8,626.98
210,1446,2025-10-28 01:39:56,completed,paid,5,1800.74
211,946,2024-03-29 11:16:00,completed,PAID,15,2764.87
212,300,2025-06-07 16:58:03,completed,PAID,10,485.41
213,1909,2025-05-13 18:10:34,completed,success,3,1219.46
214,1558,2024-11-18 05:00:08,completed,paid,11,173.75
215,1483,2025-11-15 23:25:13,completed,PAID,3,624.44
216,1650,2024-01-29 20:40:27,completed,PAID,1,1872.64
217,234,2025-12-31 17:32:37,SUCCESS,success,3,350.69
218,643,2025-03-19 16:49:25,completed,PAID,13,1613.77
219,790,2025-08-27 03:51:22,completed,PAID,3,19.42
220,621,2024-12-26 12:01:57,completed,paid,3,744.83
221,791,2026-01-24 05:12:41,completed,PAID,15,274.89
222,1300,2025-12-27 04:24:34,completed,paid,6,262.99
223,1264,2024-07-03 21:51:54,completed,paid,12,163.14
224,410,2024-05-27 17:07:43,returned,refunded,9,891.64
225,933,2026-02-02 05:12:52,returned,refunded,3,713.43
226,567,2025-09-23 18:59:39,completed,paid,2,534.66
227,2111,2025-04-23 20:31:29,completed,success,5,1358.15
228,1103,2025-05-03 06:30:37,completed,success,12,2728.55
229,1777,2024-08-18 06:59:07,completed,paid,14,261.08
230,1642,2025-01-30 02:14:46,returned,refund,1,260.29
231,2200,2025-09-08 16:14:12,completed,success,5,98.55
232,435,2024-02-07 16:08:19,completed,paid,13,201.18
233,1379,2025-03-23 08:56:56,completed,paid,11,288.24
234,7,2024-12-16 16:59:38,completed,PAID,10,776.11
235,1134,2025-09-21 09:38:42,completed,success,3,725.30
236,380,2024-12-05 21:48:28,completed,PAID,11,173.40
237,1572,2025-10-11 05:44:14,completed,paid,3,635.01
238,43,2026-01-13 21:52:20,completed,success,15,705.79
239,1703,2026-01-04 20:16:44,completed,PAID,16,1272.46
240,406,2024-10-11 22:32:32,completed,PAID,9,950.37
241,2127,2024-10-05 21:48:34,completed,success,12,25.88
242,958,2025-02-18 02:49:31,cancelled,failed,6,835.20
243,1598,2026-03-21 16:35:06,completed,success,13,770.80
244,147,2024-11-12 17:38:29,completed,success,4,690.00
245,1669,2024-08-29 06:33:21,completed,paid,6,1123.65
246,1583,2024-05-19 05:46:36,completed,PAID,9,99.81
247,900,2024-03-30 11:16:56,Complete,PAID,16,312.17
248,586,2025-05-17 21:13:29,completed,PAID,16,797.38
249,985,2024-02-25 22:51:30,completed,PAID,3,298.68
250,1849,2024-02-08 04:51:30,completed,paid,11,1267.47
251,1566,2024-09-04 20:36:46,completed,PAID,9,587.70
252,2174,2026-03-26 20:20:54,completed,success,10,615.37
253,1174,2026-03-21 00:02:40,completed,success,3,621.89
254,1899,2024-08-24 08:13:07,Complete,paid,12,1348.52
255,427,2024-12-03 03:31:38,completed,paid,14,1492.03
256,2148,2026-03-12 04:57:00,completed,success,14,799.00
257,958,2025-03-21 14:37:54,pending,pending,6,556.05
258,1308,2025-12-07 02:27:24,completed,PAID,16,483.80
259,2085,2026-01-27 19:05:15,completed,PAID,8,420.72
260,1216,2025-10-13 04:20:14,pending,pending,2,286.55
261,1251,2024-07-26 06:23:33,completed,PAID,16,684.63
262,60,2024-07-04 14:02:27,completed,paid,14,252.39
263,1366,2025-07-20 00:05:12,completed,paid,2,355.92
264,155,2024-07-28 09:42:12,completed,success,1,597.34
265,1175,2025-09-07 07:49:56,completed,success,12,2113.51
266,179,2024-01-22 07:37:05,completed,success,16,990.92
267,239,2025-04-03 22:28:28,Complete,PAID,13,1845.84
268,1251,2026-01-10 06:33:33,completed,paid,16,670.07
269,325,2026-01-27 00:47:35,completed,paid,13,1516.24
270,1265,2024-10-30 06:15:13,completed,paid,11,1345.28
271,569,2025-03-27 14:57:12,completed,paid,14,3825.12
272,277,2025-01-02 12:24:34,completed,success,11,1085.72
273,1429,2024-05-02 19:09:38,pending,pending,15,765.60
274,301,2026-02-17 09:46:17,SUCCESS,success,9,741.98
275,2195,2025-09-26 21:39:26,completed,PAID,14,209.03
276,1267,2025-12-10 12:18:49,completed,success,15,1579.31
277,66,2024-08-05 14:45:36,cancelled,failed,6,773.02
278,203,2025-06-03 09:34:22,pending,pending,6,1079.65
279,1227,2025-06-03 18:15:57,pending,pending,3,1685.94
280,906,2025-10-23 13:17:45,completed,paid,15,450.82
281,1098,2026-02-03 22:40:12,completed,success,11,1266.58
282,1687,2025-10-06 12:12:46,completed,paid,8,1051.02
283,1826,2024-09-21 06:54:57,completed,success,14,1065.52
284,1234,2026-02-17 06:11:07,completed,success,9,199.10
285,198,2025-06-24 09:25:42,completed,paid,8,697.00
286,2199,2024-05-01 14:11:51,completed,success,8,1565.14
287,244,2024-11-04 03:55:54,SUCCESS,PAID,11,134.62
288,1595,2025-07-16 23:12:30,completed,success,12,64.67
289,2029,2024-06-07 21:03:51,cancelled,failed,11,862.97
290,561,2024-12-30 10:45:46,pending,pending,9,672.96
291,1808,2025-03-14 12:44:05,completed,paid,16,549.78
292,2000,2024-09-03 01:24:12,completed,paid,5,797.56
293,1266,2024-01-04 08:46:39,completed,paid,6,248.21
294,563,2025-06-05 06:09:25,completed,success,1,462.48
295,527,2025-03-02 02:21:40,SUCCESS,paid,11,473.96
296,162,2024-12-18 16:15:44,Complete,success,12,313.82
297,1856,2025-12-07 15:08:13,completed,success,16,437.27
298,775,2025-02-12 08:35:34,completed,PAID,14,725.79
299,1487,2024-10-22 18:37:29,completed,PAID,8,1550.94
300,992,2026-03-09 21:11:25,completed,success,6,318.58
301,2061,2024-05-30 12:29:59,completed,success,1,888.12
302,2084,2024-02-04 03:41:07,Complete,success,10,144.54
303,1460,2024-03-13 04:44:03,completed,PAID,9,642.98
304,2100,2024-04-10 03:10:55,completed,success,5,728.87
305,1721,2025-05-18 23:53:02,SUCCESS,paid,3,1181.16
306,1147,2024-04-17 01:23:46,returned,refunded,14,268.03
307,153,2024-07-10 04:42:31,cancelled,failed,14,222.62
308,815,2026-01-31 12:19:01,Complete,PAID,13,474.63
309,82,2025-09-14 14:34:54,completed,PAID,2,1128.10
310,1751,2025-12-25 00:24:31,completed,paid,14,360.08
311,1577,2024-07-15 23:53:17,Complete,paid,9,1399.42
312,1839,2024-04-26 19:06:20,completed,success,2,819.84
313,87,2024-12-09 16:49:23,completed,success,13,180.81
314,729,2026-03-09 13:25:55,completed,success,6,407.65
315,1442,2024-09-03 06:47:08,completed,success,1,1098.46
316,1463,2024-03-16 17:43:21,cancelled,failed,4,449.45
317,530,2024-09-18 07:29:31,completed,PAID,9,1007.17
318,69,2026-03-07 15:54:06,completed,paid,15,195.17
319,1186,2025-11-26 02:31:55,completed,PAID,3,159.09
320,1654,2024-09-13 14:48:30,completed,success,7,951.52
321,651,2024-10-02 10:37:55,completed,success,14,194.27
322,812,2025-06-11 13:25:37,completed,paid,9,902.26
323,1467,2025-04-05 10:57:49,completed,PAID,15,113.90
324,762,2024-07-09 01:11:26,completed,paid,8,309.11
325,1498,2024-08-17 19:56:39,completed,success,16,511.95
326,2171,2026-01-29 22:02:37,completed,success,14,1109.36
327,425,2025-02-02 20:30:19,completed,paid,1,788.58
328,243,2025-12-05 07:57:48,completed,PAID,11,554.50
329,810,2024-07-19 20:02:40,completed,success,11,823.83
330,1139,2025-11-16 01:45:00,completed,success,13,464.27
331,1010,2025-04-09 14:09:33,completed,PAID,1,1064.07
332,1242,2024-08-03 23:32:32,pending,pending,9,354.57
333,840,2025-07-15 09:30:39,completed,PAID,1,253.96
334,1720,2025-03-12 13:16:39,completed,success,8,219.74
335,1842,2025-01-10 17:41:54,cancelled,declined,10,660.85
336,1442,2024-01-14 17:47:36,completed,success,1,888.79
337,603,2025-04-29 09:03:31,cancelled,declined,8,391.32
338,1489,2024-11-02 21:28:43,completed,success,14,287.33
339,1048,2025-06-06 17:58:48,completed,PAID,3,925.60
340,1821,2024-12-16 20:23:37,completed,success,4,108.79
341,638,2024-06-03 06:53:18,completed,paid,13,709.38
342,1811,2024-07-30 20:30:48,Complete,success,4,526.18
343,305,2025-01-09 22:21:58,completed,paid,12,1113.92
344,1876,2024-01-15 10:57:28,completed,PAID,3,616.38
345,57,2025-01-07 17:07:41,completed,success,16,1524.34
346,1013,2024-09-26 06:45:48,completed,PAID,1,1101.36
347,771,2024-08-18 20:51:54,completed,success,8,919.44
348,1668,2026-02-17 08:44:45,completed,paid,15,664.04
349,1818,2025-06-01 23:39:06,completed,paid,8,1671.84
350,808,2025-01-20 15:51:45,completed,success,10,281.09
351,156,2025-02-07 08:23:03,completed,PAID,4,768.39
352,698,2024-06-02 10:05:38,completed,success,2,136.16
353,464,2026-03-09 06:30:10,completed,paid,5,386.74
354,159,2025-06-13 12:36:07,cancelled,declined,4,261.73
355,14,2024-08-30 20:46:32,completed,success,13,492.00
356,1375,2025-12-31 14:04:33,completed,success,12,517.85
357,1435,2024-09-10 20:08:40,completed,success,5,1163.22
358,1764,2025-10-25 01:16:51,cancelled,declined,6,184.49
359,491,2024-02-10 02:21:02,completed,PAID,15,304.45
360,1951,2025-09-11 05:08:31,completed,PAID,6,1033.69
361,828,2024-10-09 19:51:05,completed,success,15,1651.26
362,1039,2025-03-21 01:34:51,completed,success,13,601.53
363,475,2025-07-29 10:17:36,completed,paid,11,359.69
364,549,2024-11-18 14:46:07,completed,success,2,587.91
365,1908,2026-03-15 13:13:32,completed,PAID,4,3112.97
366,1264,2025-02-11 00:36:01,returned,refunded,12,2570.14
367,1314,2025-09-19 00:03:46,completed,paid,8,992.19
368,110,2024-01-27 15:52:00,completed,PAID,4,569.67
369,107,2024-12-30 11:13:34,completed,PAID,11,758.74
370,303,2026-02-18 04:36:17,completed,paid,3,768.20
371,2115,2025-08-09 06:15:48,completed,PAID,15,988.16
372,903,2026-02-27 11:12:24,completed,paid,15,417.05
373,939,2025-04-14 19:05:03,completed,PAID,12,277.46
374,478,2025-06-02 06:07:30,pending,pending,3,487.24
375,548,2025-10-29 22:06:58,completed,success,8,1797.96
376,2190,2026-01-04 05:22:20,completed,success,4,2055.47
377,1952,2025-06-11 00:26:32,completed,paid,8,171.60
378,2071,2025-09-25 14:19:50,completed,PAID,7,680.67
379,1042,2025-05-14 10:43:39,pending,pending,15,345.08
380,918,2024-09-08 05:04:04,cancelled,failed,12,521.83
381,1675,2024-01-28 04:11:50,completed,PAID,1,825.71
382,1068,2026-03-19 20:58:15,completed,success,6,609.08
383,2139,2025-08-29 10:26:42,completed,paid,12,409.94
384,485,2024-08-20 23:42:58,completed,paid,15,881.20
385,632,2025-03-07 06:57:29,completed,success,7,448.10
386,246,2024-07-18 13:42:44,completed,paid,7,1547.85
387,870,2024-12-02 22:50:30,completed,success,4,318.89
388,309,2024-08-25 09:47:04,Complete,success,11,315.15
389,1442,2024-09-25 16:10:21,completed,PAID,1,355.25
390,103,2025-11-25 10:35:32,completed,paid,15,276.92
391,871,2024-06-11 12:55:33,returned,refunded,12,87.37
392,81,2026-01-20 20:40:02,completed,paid,15,670.55
393,1354,2024-10-18 03:08:31,Complete,PAID,14,994.19
394,1639,2026-01-18 17:18:25,completed,paid,2,1793.37
395,1189,2024-05-21 09:11:35,completed,success,9,1042.47
396,926,2025-06-23 23:50:45,completed,success,5,916.26
397,51,2024-10-12 21:20:18,completed,paid,3,54.51
398,2120,2024-05-31 08:19:21,completed,success,6,48.19
399,1800,2024-05-03 15:19:30,completed,PAID,7,149.48
400,1608,2024-01-15 05:02:23,completed,paid,16,237.12
401,253,2024-09-16 04:10:24,cancelled,declined,15,514.61
402,2135,2025-12-27 19:58:06,completed,success,10,599.45
403,1495,2024-01-03 08:56:02,completed,PAID,8,21.11
404,1335,2024-08-18 16:54:20,completed,PAID,8,1338.51
405,800,2025-05-19 04:59:04,completed,success,7,1080.39
406,1989,2024-02-05 13:43:13,Complete,PAID,7,314.06
407,1948,2025-02-06 11:05:27,Complete,paid,9,179.75
408,1942,2025-03-17 12:58:10,completed,paid,5,300.04
409,1904,2025-05-24 00:37:33,completed,paid,9,820.14
410,138,2025-12-06 13:23:58,completed,success,3,838.96
411,1189,2025-02-09 03:48:24,completed,success,9,1299.20
412,1857,2026-03-09 13:51:35,completed,success,15,1649.39
413,975,2026-03-12 06:50:09,pending,pending,10,786.83
414,1680,2024-05-13 21:44:43,SUCCESS,PAID,4,1034.20
415,1685,2025-12-11 19:05:45,completed,PAID,7,184.73
416,58,2024-04-12 16:18:09,completed,success,11,1059.12
417,1703,2024-12-29 18:28:17,completed,paid,16,1920.18
418,1079,2026-01-07 01:13:53,completed,PAID,4,998.09
419,172,2026-01-26 06:29:50,completed,PAID,10,12.89
420,438,2024-02-21 16:11:11,completed,paid,9,34.94
421,1869,2025-12-02 17:27:56,completed,paid,7,111.80
422,328,2026-03-19 23:37:34,completed,paid,2,224.43
423,470,2025-05-26 22:05:54,completed,paid,15,126.76
424,1690,2025-03-05 06:01:46,completed,PAID,1,13.05
425,1670,2024-12-24 10:02:32,completed,paid,9,960.07
426,1611,2025-05-17 20:43:45,completed,success,11,520.30
427,1008,2026-01-03 15:34:47,completed,PAID,15,1210.57
428,1141,2024-12-05 08:40:21,pending,pending,11,662.32
429,2079,2024-02-28 23:33:45,pending,pending,2,210.88
430,248,2024-07-24 19:10:23,completed,PAID,14,1570.23
431,1061,2025-02-08 23:07:24,completed,paid,5,768.85
432,762,2024-09-02 08:43:55,completed,success,8,381.19
433,1177,2024-06-16 14:27:29,pending,pending,10,1138.65
434,1258,2025-08-20 15:14:19,completed,PAID,5,1277.54
435,738,2024-06-20 21:04:27,completed,success,3,938.55
436,1882,2024-02-25 00:17:02,completed,PAID,14,387.63
437,2037,2024-06-16 14:47:55,completed,PAID,2,347.82
438,1214,2024-06-16 05:54:30,completed,paid,7,259.12
439,944,2024-05-28 05:01:23,completed,paid,11,106.46
440,438,2025-04-06 00:19:10,completed,paid,9,689.44
441,446,2024-03-17 07:43:31,completed,success,8,910.20
442,420,2025-05-30 23:05:18,completed,PAID,3,319.67
443,1940,2024-01-31 01:09:30,completed,success,6,528.58
444,1373,2024-05-31 13:42:48,completed,success,2,1275.81
445,165,2025-07-07 08:34:50,completed,paid,8,1303.37
446,1775,2026-01-15 10:37:06,completed,PAID,4,227.47
447,820,2026-02-22 12:37:30,completed,PAID,6,1360.40
448,1011,2025-06-11 13:52:33,completed,paid,5,860.52
449,604,2024-09-17 04:28:17,Complete,success,11,949.53
450,761,2025-08-25 21:17:48,pending,pending,5,311.12
451,1277,2025-11-10 09:16:08,completed,paid,3,121.19
452,1080,2024-08-24 04:39:35,completed,paid,12,1908.52
453,1803,2026-03-01 04:25:16,completed,paid,8,366.06
454,388,2025-12-25 16:58:51,completed,paid,4,802.47
455,633,2026-02-05 01:46:04,completed,success,5,17.80
456,1870,2024-12-29 08:56:52,completed,PAID,7,1094.58
457,275,2026-03-07 23:15:42,completed,PAID,5,1299.61
458,1654,2025-03-24 23:57:55,completed,success,7,387.32
459,1111,2024-05-17 10:09:00,completed,paid,10,1887.43
460,1459,2025-02-15 19:46:38,completed,success,3,368.43
461,769,2024-12-16 05:48:54,completed,PAID,13,258.33
462,1359,2025-10-12 10:52:28,completed,PAID,14,587.99
